support	itemsets
0.012	frozenset({'DeepSAD', 'DevNet', 'PReNet'})
0.012	frozenset({'Success', 'DeepSAD', 'DevNet', 'PReNet'})
0.0115	frozenset({'Success', 'DeepSVDD', 'ICL'})
0.0115	frozenset({'Success', 'ICL', 'RePEN'})
0.0115	frozenset({'Success', 'RoSAS', 'PReNet'})
0.0115	frozenset({'ICL', 'RePEN'})
0.0115	frozenset({'RCA', 'RePEN', 'PReNet'})
0.0115	frozenset({'RoSAS', 'PReNet'})
0.0115	frozenset({'Success', 'RCA', 'RePEN', 'PReNet'})
0.011	frozenset({'RCA', 'DevNet', 'PReNet'})
0.011	frozenset({'Success', 'RoSAS', 'DeepSAD'})
0.011	frozenset({'ICL', 'RCA', 'DeepSAD'})
0.011	frozenset({'ICL', 'Success', 'RCA', 'DeepSAD'})
0.011	frozenset({'RoSAS', 'DeepSAD'})
0.011	frozenset({'Success', 'RCA', 'DevNet', 'PReNet'})
0.0105	frozenset({'SLAD', 'GOAD', 'DeepSVDD'})
0.0105	frozenset({'Success', 'DeepSAD', 'RePEN', 'PReNet'})
0.0105	frozenset({'Success', 'NeuTraL', 'DevNet'})
0.0105	frozenset({'DeepSAD', 'RePEN', 'PReNet'})
0.0105	frozenset({'NeuTraL', 'DevNet'})
0.01	frozenset({'Success', 'RCA', 'DeepSAD', 'PReNet'})
0.01	frozenset({'RCA', 'DeepSAD', 'PReNet'})
0.01	frozenset({'SLAD', 'Success', 'PReNet'})
0.01	frozenset({'RCA', 'ICL', 'RePEN'})
0.01	frozenset({'SLAD', 'DevNet', 'Success'})
0.01	frozenset({'Success', 'RCA', 'ICL', 'RePEN'})
0.01	frozenset({'SLAD', 'PReNet'})
0.01	frozenset({'SLAD', 'DevNet'})
0.0095	frozenset({'Success', 'RoSAS', 'ICL'})
0.0095	frozenset({'SLAD', 'RoSAS'})
0.0095	frozenset({'RoSAS', 'ICL'})
0.0095	frozenset({'SLAD', 'GOAD', 'DeepSVDD', 'Success'})
0.0095	frozenset({'SLAD', 'RCA', 'DeepSAD'})
0.0095	frozenset({'SLAD', 'DeepSAD', 'RePEN'})
0.009	frozenset({'SLAD', 'DeepSAD', 'RePEN', 'Success'})
0.009	frozenset({'SLAD', 'RCA', 'DeepSAD', 'Success'})
0.009	frozenset({'Success', 'ICL', 'DeepSAD', 'DevNet'})
0.009	frozenset({'DeepSVDD', 'RoSAS'})
0.009	frozenset({'SLAD', 'RoSAS', 'Success'})
0.009	frozenset({'ICL', 'DeepSAD', 'DevNet'})
0.0085	frozenset({'Success', 'RCA', 'RePEN', 'DevNet', 'PReNet'})
0.0085	frozenset({'DevNet', 'DeepSAD', 'RePEN', 'PReNet'})
0.0085	frozenset({'Success', 'DeepSAD', 'RePEN', 'DevNet', 'PReNet'})
0.0085	frozenset({'DevNet', 'RCA', 'RePEN', 'PReNet'})
0.0085	frozenset({'ICL', 'DeepSAD', 'RePEN'})
0.0085	frozenset({'Success', 'ICL', 'DeepSAD', 'RePEN'})
0.008	frozenset({'RoSAS', 'DevNet', 'PReNet'})
0.008	frozenset({'Success', 'DeepSVDD', 'RoSAS'})
0.008	frozenset({'Success', 'RoSAS', 'DevNet', 'PReNet'})
0.008	frozenset({'SLAD', 'DeepSVDD', 'RCA', 'Success'})
0.008	frozenset({'SLAD', 'DeepSVDD', 'RCA'})
0.0075	frozenset({'Success', 'RCA', 'DeepSAD', 'ICL', 'RePEN'})
0.0075	frozenset({'ICL', 'RCA', 'DeepSAD', 'RePEN'})
0.0075	frozenset({'Success', 'RCA', 'ICL', 'DevNet'})
0.0075	frozenset({'SLAD', 'DeepSVDD', 'RePEN', 'Success'})
0.0075	frozenset({'SLAD', 'DeepSVDD', 'RePEN'})
0.0075	frozenset({'SLAD', 'DeepSVDD', 'RCA', 'RePEN'})
0.0075	frozenset({'Success', 'RCA', 'DeepSAD', 'DevNet', 'PReNet'})
0.0075	frozenset({'RCA', 'DeepSAD', 'RePEN', 'PReNet'})
0.0075	frozenset({'Success', 'DeepSVDD', 'RCA', 'SLAD', 'RePEN'})
0.0075	frozenset({'RCA', 'ICL', 'DevNet'})
0.0075	frozenset({'SLAD', 'RCA', 'DeepSAD', 'RePEN'})
0.0075	frozenset({'Success', 'RCA', 'DeepSAD', 'RePEN', 'PReNet'})
0.0075	frozenset({'RCA', 'DeepSAD', 'DevNet', 'PReNet'})
0.007	frozenset({'Success', 'RCA', 'DeepSAD', 'SLAD', 'RePEN'})
0.007	frozenset({'NeuTraL', 'DeepSAD'})
0.007	frozenset({'SLAD', 'Success', 'DevNet', 'PReNet'})
0.007	frozenset({'Success', 'NeuTraL', 'DeepSAD'})
0.007	frozenset({'SLAD', 'DevNet', 'PReNet'})
0.007	frozenset({'Success', 'RoSAS', 'DeepSAD', 'DevNet'})
0.007	frozenset({'RoSAS', 'DeepSAD', 'DevNet'})
0.0065	frozenset({'Success', 'RCA', 'ICL', 'PReNet'})
0.0065	frozenset({'RCA', 'ICL', 'PReNet'})
0.0065	frozenset({'RCA', 'DeepSAD', 'RePEN', 'DevNet', 'PReNet'})
0.0065	frozenset({'Success', 'RCA', 'DeepSAD', 'RePEN', 'DevNet', 'PReNet'})
0.006	frozenset({'ICL', 'DeepSAD', 'PReNet'})
0.006	frozenset({'SLAD', 'DeepSVDD', 'RCA', 'DeepSAD'})
0.006	frozenset({'Success', 'DeepSVDD', 'RCA', 'DeepSAD', 'SLAD'})
0.006	frozenset({'Success', 'ICL', 'DeepSAD', 'PReNet'})
0.006	frozenset({'SLAD', 'DeepSVDD', 'DeepSAD', 'Success'})
0.006	frozenset({'SLAD', 'DeepSVDD', 'DeepSAD'})
0.0055	frozenset({'Success', 'DeepSVDD', 'RCA', 'DeepSAD', 'RePEN', 'DevNet'})
0.0055	frozenset({'Success', 'RCA', 'DeepSAD', 'ICL', 'DevNet'})
0.0055	frozenset({'Success', 'GOAD', 'RePEN'})
0.0055	frozenset({'Success', 'DeepSVDD', 'DeepSAD', 'RePEN', 'DevNet'})
0.0055	frozenset({'DeepSVDD', 'RCA', 'DeepSAD', 'SLAD', 'RePEN'})
0.0055	frozenset({'Success', 'DeepSVDD', 'RCA', 'DeepSAD', 'SLAD', 'RePEN'})
0.0055	frozenset({'DeepSVDD', 'RCA', 'DevNet'})
0.0055	frozenset({'DevNet', 'DeepSVDD', 'DeepSAD', 'RePEN'})
0.0055	frozenset({'Success', 'DeepSVDD', 'DevNet', 'RePEN'})
0.0055	frozenset({'DeepSVDD', 'DevNet', 'RePEN'})
0.0055	frozenset({'SLAD', 'DeepSAD', 'DevNet', 'Success'})
0.0055	frozenset({'DeepSVDD', 'RCA', 'DeepSAD', 'DevNet'})
0.0055	frozenset({'DeepSVDD', 'RCA', 'DevNet', 'RePEN'})
0.0055	frozenset({'Success', 'DeepSVDD', 'RCA', 'DevNet'})
0.0055	frozenset({'DeepSVDD', 'RCA', 'DeepSAD', 'RePEN', 'DevNet'})
0.0055	frozenset({'ICL', 'RCA', 'DeepSAD', 'DevNet'})
0.0055	frozenset({'Success', 'RoSAS', 'RePEN'})
0.0055	frozenset({'Success', 'DeepSVDD', 'RCA', 'DeepSAD', 'DevNet'})
0.0055	frozenset({'RoSAS', 'RCA'})
0.0055	frozenset({'Success', 'DeepSVDD', 'RCA', 'RePEN', 'DevNet'})
0.0055	frozenset({'SLAD', 'DeepSAD', 'DevNet'})
0.0055	frozenset({'Success', 'RoSAS', 'RCA'})
0.0055	frozenset({'RoSAS', 'RePEN'})
0.0055	frozenset({'DeepSVDD', 'DevNet'})
0.0055	frozenset({'SLAD', 'DeepSVDD', 'NeuTraL', 'Success'})
0.0055	frozenset({'SLAD', 'DeepSVDD', 'NeuTraL'})
0.0055	frozenset({'SLAD', 'GOAD', 'RoSAS'})
0.0055	frozenset({'GOAD', 'RePEN'})
0.0055	frozenset({'SLAD', 'GOAD', 'NeuTraL'})
0.0055	frozenset({'Success', 'DeepSVDD', 'DeepSAD', 'SLAD', 'RePEN'})
0.0055	frozenset({'SLAD', 'DeepSVDD', 'DeepSAD', 'RePEN'})
0.0055	frozenset({'Success', 'DeepSVDD', 'DeepSAD', 'DevNet'})
0.0055	frozenset({'Success', 'DeepSVDD', 'DevNet'})
0.0055	frozenset({'DeepSVDD', 'DeepSAD', 'DevNet'})
0.005	frozenset({'Success', 'RCA', 'ICL', 'DevNet', 'PReNet'})
0.005	frozenset({'ICL', 'RCA', 'DeepSAD', 'PReNet'})
0.005	frozenset({'RCA', 'ICL', 'DevNet', 'PReNet'})
0.005	frozenset({'Success', 'DevNet', 'ICL', 'RePEN'})
0.005	frozenset({'DevNet', 'ICL', 'RePEN'})
0.005	frozenset({'Success', 'RCA', 'DeepSAD', 'ICL', 'PReNet'})
0.005	frozenset({'SLAD', 'GOAD', 'NeuTraL', 'Success'})
0.005	frozenset({'SLAD', 'GOAD', 'RoSAS', 'Success'})
0.0045	frozenset({'DeepSVDD', 'ICL', 'DeepSAD'})
0.0045	frozenset({'ICL', 'DeepSAD', 'DevNet', 'PReNet'})
0.0045	frozenset({'GOAD', 'DeepSVDD', 'NeuTraL'})
0.0045	frozenset({'Success', 'DeepSVDD', 'ICL', 'DeepSAD'})
0.0045	frozenset({'ICL', 'DeepSAD', 'NeuTraL'})
0.0045	frozenset({'Success', 'ICL', 'DeepSAD', 'NeuTraL'})
0.0045	frozenset({'SLAD', 'ICL', 'DevNet'})
0.0045	frozenset({'Success', 'RCA', 'RePEN', 'ICL', 'DevNet'})
0.0045	frozenset({'Success', 'DeepSAD', 'ICL', 'DevNet', 'PReNet'})
0.0045	frozenset({'SLAD', 'DeepSVDD', 'RoSAS'})
0.0045	frozenset({'DeepSVDD', 'RCA', 'ICL'})
0.0045	frozenset({'DevNet', 'ICL', 'NeuTraL'})
0.0045	frozenset({'DevNet', 'RoSAS', 'RePEN'})
0.0045	frozenset({'DevNet', 'RCA', 'ICL', 'RePEN'})
0.0045	frozenset({'Success', 'DevNet', 'ICL', 'NeuTraL'})
0.0045	frozenset({'Success', 'DevNet', 'RoSAS', 'RePEN'})
0.0045	frozenset({'Success', 'GOAD', 'DeepSVDD', 'NeuTraL'})
0.0045	frozenset({'Quartile'})
0.0045	frozenset({'Success', 'DevNet', 'ICL', 'SLAD'})
0.0045	frozenset({'Success', 'DeepSVDD', 'RCA', 'DeepSAD', 'ICL'})
0.0045	frozenset({'ICL', 'DeepSVDD', 'RCA', 'DeepSAD'})
0.0045	frozenset({'Success', 'DeepSVDD', 'RCA', 'ICL'})
0.004	frozenset({'Success', 'RoSAS', 'ICL', 'NeuTraL'})
0.004	frozenset({'Success', 'DeepSVDD', 'RCA', 'ICL', 'RePEN'})
0.004	frozenset({'Success', 'DeepSVDD', 'RCA', 'DeepSAD', 'ICL', 'RePEN'})
0.004	frozenset({'RoSAS', 'ICL', 'DevNet'})
0.004	frozenset({'RoSAS', 'ICL', 'NeuTraL'})
0.004	frozenset({'SLAD', 'DeepSVDD', 'RoSAS', 'Success'})
0.004	frozenset({'GOAD', 'ICL', 'NeuTraL'})
0.004	frozenset({'DevNet', 'RoSAS', 'NeuTraL'})
0.004	frozenset({'RoSAS', 'GOAD', 'DeepSVDD'})
0.004	frozenset({'SLAD', 'Success', 'ICL', 'PReNet'})
0.004	frozenset({'GOAD', 'DeepSVDD', 'ICL'})
0.004	frozenset({'Success', 'RoSAS', 'ICL', 'DevNet'})
0.004	frozenset({'SLAD', 'ICL', 'PReNet'})
0.004	frozenset({'Success', 'GOAD', 'ICL', 'SLAD'})
0.004	frozenset({'SLAD', 'GOAD', 'ICL'})
0.004	frozenset({'Success', 'DevNet', 'RoSAS', 'NeuTraL'})
0.004	frozenset({'Success', 'GOAD', 'DeepSVDD', 'ICL'})
0.004	frozenset({'Success', 'ICL', 'SLAD', 'DevNet', 'PReNet'})
0.004	frozenset({'NeuTraL', 'DeepSAD', 'DevNet'})
0.004	frozenset({'SLAD', 'ICL', 'DevNet', 'PReNet'})
0.004	frozenset({'ICL', 'RePEN', 'PReNet'})
0.004	frozenset({'Success', 'DeepSVDD', 'DeepSAD', 'ICL', 'RePEN'})
0.004	frozenset({'DeepSVDD', 'ICL', 'RePEN'})
0.004	frozenset({'RCA', 'RePEN', 'ICL', 'DevNet', 'PReNet'})
0.004	frozenset({'Success', 'RCA', 'RePEN', 'ICL', 'DevNet', 'PReNet'})
0.004	frozenset({'Success', 'NeuTraL', 'DeepSAD', 'DevNet'})
0.004	frozenset({'Success', 'DeepSVDD', 'ICL', 'RePEN'})
0.004	frozenset({'DeepSVDD', 'ICL', 'DeepSAD', 'RePEN'})
0.004	frozenset({'Success', 'RePEN', 'ICL', 'DevNet', 'PReNet'})
0.004	frozenset({'DeepSVDD', 'RCA', 'ICL', 'RePEN'})
0.004	frozenset({'Success', 'ICL', 'RePEN', 'PReNet'})
0.004	frozenset({'Success', 'RCA', 'ICL', 'RePEN', 'PReNet'})
0.004	frozenset({'DeepSVDD', 'RCA', 'DeepSAD', 'ICL', 'RePEN'})
0.004	frozenset({'RCA', 'Quartile'})
0.004	frozenset({'DevNet', 'ICL', 'RePEN', 'PReNet'})
0.004	frozenset({'Success', 'Quartile'})
0.004	frozenset({'DevNet', 'ICL', 'DeepSAD', 'RePEN'})
0.004	frozenset({'RCA', 'ICL', 'RePEN', 'PReNet'})
0.004	frozenset({'Success', 'DeepSAD', 'RePEN', 'ICL', 'DevNet'})
0.0035	frozenset({'SLAD', 'RCA', 'DeepSAD', 'DevNet'})
0.0035	frozenset({'SLAD', 'RCA', 'DevNet', 'Success'})
0.0035	frozenset({'NeuTraL', 'Success', 'ICL', 'SLAD'})
0.0035	frozenset({'RoSAS', 'Success', 'GOAD', 'DeepSVDD'})
0.0035	frozenset({'Success', 'RCA', 'DeepSAD', 'SLAD', 'DevNet'})
0.0035	frozenset({'Quartile', 'RePEN'})
0.0035	frozenset({'NeuTraL', 'PReNet'})
0.0035	frozenset({'Success', 'RCA', 'RePEN', 'Quartile'})
0.0035	frozenset({'Success', 'NeuTraL', 'PReNet'})
0.0035	frozenset({'RCA', 'RePEN', 'Quartile'})
0.0035	frozenset({'Success', 'Quartile', 'RePEN'})
0.0035	frozenset({'SLAD', 'RCA', 'DevNet'})
0.0035	frozenset({'Success', 'RCA', 'Quartile'})
0.0035	frozenset({'SLAD', 'ICL', 'NeuTraL'})
0.0035	frozenset({'Success', 'RCA', 'DeepSAD', 'RePEN', 'ICL', 'DevNet'})
0.0035	frozenset({'RCA', 'DeepSAD', 'ICL', 'DevNet', 'PReNet'})
0.0035	frozenset({'RoSAS', 'DeepSAD', 'PReNet'})
0.0035	frozenset({'SLAD', 'GOAD', 'RePEN'})
0.0035	frozenset({'SLAD', 'GOAD', 'RePEN', 'Success'})
0.0035	frozenset({'Success', 'RCA', 'DeepSAD', 'ICL', 'DevNet', 'PReNet'})
0.0035	frozenset({'RoSAS', 'DevNet', 'RCA'})
0.0035	frozenset({'RoSAS', 'RePEN', 'RCA'})
0.0035	frozenset({'Success', 'RoSAS', 'DevNet', 'RCA'})
0.0035	frozenset({'RCA', 'DeepSAD', 'RePEN', 'ICL', 'DevNet'})
0.0035	frozenset({'Success', 'GOAD', 'ICL', 'NeuTraL'})
0.0035	frozenset({'RoSAS', 'DeepSAD', 'DevNet', 'PReNet'})
