support	itemsets
0.012	frozenset({'DeepSVDD', 'ICL'})
0.012	frozenset({'PReNet', 'DevNet', 'DeepSAD'})
0.0115	frozenset({'RePEN', 'Success', 'ICL'})
0.0115	frozenset({'PReNet', 'RoSAS', 'Success'})
0.0115	frozenset({'PReNet', 'Success', 'RePEN', 'RCA'})
0.0115	frozenset({'PReNet', 'RePEN', 'RCA'})
0.0115	frozenset({'RePEN', 'ICL'})
0.0115	frozenset({'Success', 'DeepSVDD', 'ICL'})
0.0115	frozenset({'PReNet', 'RoSAS'})
0.011	frozenset({'RCA', 'ICL', 'Success', 'DeepSAD'})
0.011	frozenset({'RoSAS', 'Success', 'DeepSAD'})
0.011	frozenset({'PReNet', 'DevNet', 'RCA'})
0.011	frozenset({'PReNet', 'DevNet', 'Success', 'RCA'})
0.011	frozenset({'RCA', 'ICL', 'DeepSAD'})
0.011	frozenset({'RoSAS', 'DeepSAD'})
0.0105	frozenset({'DevNet', 'NeuTraL', 'Success'})
0.0105	frozenset({'DevNet', 'NeuTraL'})
0.0105	frozenset({'PReNet', 'RePEN', 'DeepSAD'})
0.0105	frozenset({'SLAD', 'GOAD', 'DeepSVDD'})
0.0105	frozenset({'PReNet', 'Success', 'RePEN', 'DeepSAD'})
0.01	frozenset({'RePEN', 'ICL', 'Success', 'RCA'})
0.01	frozenset({'SLAD', 'DevNet'})
0.01	frozenset({'ICL', 'RePEN', 'RCA'})
0.01	frozenset({'PReNet', 'SLAD'})
0.01	frozenset({'PReNet', 'SLAD', 'Success'})
0.01	frozenset({'RCA', 'PReNet', 'Success', 'DeepSAD'})
0.01	frozenset({'SLAD', 'DevNet', 'Success'})
0.01	frozenset({'RCA', 'PReNet', 'DeepSAD'})
0.0095	frozenset({'RCA', 'SLAD', 'DeepSAD'})
0.0095	frozenset({'SLAD', 'RoSAS'})
0.0095	frozenset({'SLAD', 'RePEN', 'DeepSAD'})
0.0095	frozenset({'RoSAS', 'ICL'})
0.0095	frozenset({'RoSAS', 'Success', 'ICL'})
0.0095	frozenset({'Success', 'SLAD', 'GOAD', 'DeepSVDD'})
0.009	frozenset({'RoSAS', 'DeepSVDD'})
0.009	frozenset({'Success', 'SLAD', 'RePEN', 'DeepSAD'})
0.009	frozenset({'RCA', 'SLAD', 'Success', 'DeepSAD'})
0.009	frozenset({'SLAD', 'RoSAS', 'Success'})
0.009	frozenset({'DevNet', 'ICL', 'Success', 'DeepSAD'})
0.009	frozenset({'ICL', 'DevNet', 'DeepSAD'})
0.0085	frozenset({'PReNet', 'DevNet', 'RePEN', 'DeepSAD'})
0.0085	frozenset({'ICL', 'RePEN', 'DeepSAD'})
0.0085	frozenset({'PReNet', 'DevNet', 'RePEN', 'RCA'})
0.0085	frozenset({'RePEN', 'ICL', 'Success', 'DeepSAD'})
0.0085	frozenset({'DevNet', 'PReNet', 'RePEN', 'RCA', 'Success'})
0.0085	frozenset({'DevNet', 'PReNet', 'RePEN', 'DeepSAD', 'Success'})
0.008	frozenset({'SLAD', 'DeepSVDD', 'RCA'})
0.008	frozenset({'Success', 'RoSAS', 'DeepSVDD'})
0.008	frozenset({'PReNet', 'RoSAS', 'DevNet', 'Success'})
0.008	frozenset({'Success', 'SLAD', 'DeepSVDD', 'RCA'})
0.008	frozenset({'PReNet', 'RoSAS', 'DevNet'})
0.0075	frozenset({'ICL', 'DevNet', 'RCA'})
0.0075	frozenset({'SLAD', 'RePEN', 'DeepSVDD', 'RCA'})
0.0075	frozenset({'RCA', 'SLAD', 'RePEN', 'DeepSAD'})
0.0075	frozenset({'DevNet', 'ICL', 'Success', 'RCA'})
0.0075	frozenset({'RCA', 'ICL', 'RePEN', 'DeepSAD'})
0.0075	frozenset({'PReNet', 'RCA', 'RePEN', 'DeepSAD'})
0.0075	frozenset({'RCA', 'PReNet', 'DevNet', 'DeepSAD'})
0.0075	frozenset({'Success', 'SLAD', 'RePEN', 'DeepSVDD'})
0.0075	frozenset({'SLAD', 'RePEN', 'DeepSVDD'})
0.0075	frozenset({'RePEN', 'DeepSAD', 'RCA', 'Success', 'ICL'})
0.0075	frozenset({'DeepSVDD', 'RePEN', 'RCA', 'SLAD', 'Success'})
0.0075	frozenset({'DevNet', 'PReNet', 'DeepSAD', 'RCA', 'Success'})
0.0075	frozenset({'PReNet', 'RePEN', 'DeepSAD', 'RCA', 'Success'})
0.007	frozenset({'RoSAS', 'DevNet', 'DeepSAD'})
0.007	frozenset({'PReNet', 'SLAD', 'DevNet', 'Success'})
0.007	frozenset({'RePEN', 'DeepSAD', 'RCA', 'SLAD', 'Success'})
0.007	frozenset({'NeuTraL', 'DeepSAD'})
0.007	frozenset({'NeuTraL', 'Success', 'DeepSAD'})
0.007	frozenset({'RoSAS', 'DevNet', 'Success', 'DeepSAD'})
0.007	frozenset({'PReNet', 'SLAD', 'DevNet'})
0.0065	frozenset({'Success', 'PReNet', 'RePEN', 'DeepSAD', 'RCA', 'DevNet'})
0.0065	frozenset({'PReNet', 'ICL', 'Success', 'RCA'})
0.0065	frozenset({'PReNet', 'RePEN', 'DeepSAD', 'RCA', 'DevNet'})
0.0065	frozenset({'PReNet', 'ICL', 'RCA'})
0.006	frozenset({'SLAD', 'DeepSVDD', 'DeepSAD'})
0.006	frozenset({'PReNet', 'ICL', 'DeepSAD'})
0.006	frozenset({'RCA', 'SLAD', 'DeepSVDD', 'DeepSAD'})
0.006	frozenset({'Success', 'SLAD', 'DeepSVDD', 'DeepSAD'})
0.006	frozenset({'PReNet', 'ICL', 'Success', 'DeepSAD'})
0.006	frozenset({'DeepSVDD', 'DeepSAD', 'RCA', 'SLAD', 'Success'})
0.0055	frozenset({'SLAD', 'DevNet', 'DeepSAD'})
0.0055	frozenset({'SLAD', 'NeuTraL', 'DeepSVDD'})
0.0055	frozenset({'RoSAS', 'RePEN'})
0.0055	frozenset({'Success', 'RoSAS', 'RePEN'})
0.0055	frozenset({'RCA', 'DevNet', 'DeepSVDD', 'DeepSAD'})
0.0055	frozenset({'DeepSVDD', 'RePEN', 'DeepSAD', 'RCA', 'SLAD', 'Success'})
0.0055	frozenset({'Success', 'DeepSVDD', 'RePEN', 'DeepSAD', 'RCA', 'DevNet'})
0.0055	frozenset({'RCA', 'ICL', 'DevNet', 'DeepSAD'})
0.0055	frozenset({'RePEN', 'DevNet', 'DeepSVDD'})
0.0055	frozenset({'RoSAS', 'RCA'})
0.0055	frozenset({'SLAD', 'GOAD', 'NeuTraL'})
0.0055	frozenset({'RePEN', 'DevNet', 'DeepSVDD', 'RCA'})
0.0055	frozenset({'Success', 'DevNet', 'DeepSVDD', 'DeepSAD'})
0.0055	frozenset({'DevNet', 'DeepSVDD', 'RCA'})
0.0055	frozenset({'GOAD', 'RePEN'})
0.0055	frozenset({'DevNet', 'DeepSAD', 'RCA', 'Success', 'ICL'})
0.0055	frozenset({'SLAD', 'RePEN', 'DeepSVDD', 'DeepSAD'})
0.0055	frozenset({'Success', 'GOAD', 'RePEN'})
0.0055	frozenset({'DevNet', 'DeepSVDD'})
0.0055	frozenset({'SLAD', 'GOAD', 'RoSAS'})
0.0055	frozenset({'RoSAS', 'Success', 'RCA'})
0.0055	frozenset({'DevNet', 'DeepSVDD', 'RePEN', 'DeepSAD', 'Success'})
0.0055	frozenset({'DevNet', 'DeepSVDD', 'RePEN', 'RCA', 'Success'})
0.0055	frozenset({'DevNet', 'DeepSVDD', 'DeepSAD', 'RCA', 'Success'})
0.0055	frozenset({'Success', 'DevNet', 'DeepSVDD'})
0.0055	frozenset({'DeepSVDD', 'RePEN', 'DeepSAD', 'SLAD', 'Success'})
0.0055	frozenset({'Success', 'SLAD', 'NeuTraL', 'DeepSVDD'})
0.0055	frozenset({'DeepSVDD', 'RePEN', 'DeepSAD', 'RCA', 'DevNet'})
0.0055	frozenset({'DevNet', 'DeepSVDD', 'DeepSAD'})
0.0055	frozenset({'RePEN', 'DevNet', 'DeepSVDD', 'DeepSAD'})
0.0055	frozenset({'Success', 'DevNet', 'DeepSVDD', 'RCA'})
0.0055	frozenset({'Success', 'RePEN', 'DevNet', 'DeepSVDD'})
0.0055	frozenset({'DeepSVDD', 'RePEN', 'DeepSAD', 'RCA', 'SLAD'})
0.0055	frozenset({'SLAD', 'DevNet', 'Success', 'DeepSAD'})
0.005	frozenset({'PReNet', 'ICL', 'DevNet', 'RCA'})
0.005	frozenset({'PReNet', 'DeepSAD', 'RCA', 'Success', 'ICL'})
0.005	frozenset({'DevNet', 'RePEN', 'ICL'})
0.005	frozenset({'SLAD', 'GOAD', 'NeuTraL', 'Success'})
0.005	frozenset({'RCA', 'ICL', 'PReNet', 'DeepSAD'})
0.005	frozenset({'SLAD', 'GOAD', 'RoSAS', 'Success'})
0.005	frozenset({'RePEN', 'DevNet', 'Success', 'ICL'})
0.005	frozenset({'DevNet', 'PReNet', 'RCA', 'Success', 'ICL'})
0.0045	frozenset({'ICL', 'DeepSVDD', 'RCA'})
0.0045	frozenset({'DevNet', 'PReNet', 'DeepSAD', 'Success', 'ICL'})
0.0045	frozenset({'SLAD', 'DevNet', 'Success', 'ICL'})
0.0045	frozenset({'Quartile'})
0.0045	frozenset({'RoSAS', 'DevNet', 'RePEN'})
0.0045	frozenset({'ICL', 'NeuTraL', 'DeepSAD'})
0.0045	frozenset({'GOAD', 'NeuTraL', 'DeepSVDD'})
0.0045	frozenset({'DeepSVDD', 'DeepSAD', 'RCA', 'Success', 'ICL'})
0.0045	frozenset({'SLAD', 'RoSAS', 'DeepSVDD'})
0.0045	frozenset({'DevNet', 'ICL', 'RePEN', 'RCA'})
0.0045	frozenset({'Success', 'RoSAS', 'DevNet', 'RePEN'})
0.0045	frozenset({'Success', 'ICL', 'DeepSVDD', 'DeepSAD'})
0.0045	frozenset({'NeuTraL', 'ICL', 'Success', 'DeepSAD'})
0.0045	frozenset({'ICL', 'DeepSVDD', 'DeepSAD'})
0.0045	frozenset({'PReNet', 'ICL', 'DevNet', 'DeepSAD'})
0.0045	frozenset({'DevNet', 'RePEN', 'RCA', 'Success', 'ICL'})
0.0045	frozenset({'RCA', 'ICL', 'DeepSVDD', 'DeepSAD'})
0.0045	frozenset({'Success', 'ICL', 'DeepSVDD', 'RCA'})
0.0045	frozenset({'SLAD', 'DevNet', 'ICL'})
0.0045	frozenset({'DevNet', 'NeuTraL', 'Success', 'ICL'})
0.0045	frozenset({'DevNet', 'NeuTraL', 'ICL'})
0.0045	frozenset({'Success', 'GOAD', 'NeuTraL', 'DeepSVDD'})
0.004	frozenset({'DevNet', 'RePEN', 'DeepSAD', 'Success', 'ICL'})
0.004	frozenset({'DevNet', 'PReNet', 'RePEN', 'Success', 'ICL'})
0.004	frozenset({'GOAD', 'RoSAS', 'DeepSVDD'})
0.004	frozenset({'SLAD', 'GOAD', 'Success', 'ICL'})
0.004	frozenset({'Success', 'RePEN', 'DeepSVDD', 'ICL'})
0.004	frozenset({'Quartile', 'RCA'})
0.004	frozenset({'RePEN', 'ICL', 'DeepSVDD', 'RCA'})
0.004	frozenset({'Success', 'GOAD', 'DeepSVDD', 'ICL'})
0.004	frozenset({'Quartile', 'Success'})
0.004	frozenset({'DeepSVDD', 'RePEN', 'RCA', 'Success', 'ICL'})
0.004	frozenset({'RePEN', 'ICL', 'DeepSVDD', 'DeepSAD'})
0.004	frozenset({'DevNet', 'PReNet', 'SLAD', 'Success', 'ICL'})
0.004	frozenset({'DeepSVDD', 'RePEN', 'DeepSAD', 'RCA', 'ICL'})
0.004	frozenset({'GOAD', 'DeepSVDD', 'ICL'})
