support	itemsets
0.018	frozenset({'RePEN', 'Quartile', 'DevNet', 'Success'})
0.018	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'RePEN', 'Success', 'DevNet'})
0.018	frozenset({'RePEN', 'DeepSVDD', 'DeepSAD', 'PReNet'})
0.018	frozenset({'Quartile', 'DevNet'})
0.018	frozenset({'ICL', 'Success', 'PReNet'})
0.018	frozenset({'ICL', 'NeuTraL'})
0.018	frozenset({'RePEN', 'Success', 'DeepSAD', 'PReNet'})
0.018	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'RePEN', 'DevNet'})
0.018	frozenset({'RCA', 'PReNet', 'DeepSVDD', 'RePEN', 'Success'})
0.018	frozenset({'Quartile', 'DeepSVDD', 'DevNet'})
0.018	frozenset({'RePEN', 'DeepSVDD', 'RCA', 'PReNet'})
0.018	frozenset({'RePEN', 'Quartile', 'DeepSVDD', 'DevNet'})
0.018	frozenset({'Quartile', 'RCA', 'RePEN', 'Success', 'DevNet'})
0.018	frozenset({'Quartile', 'DeepSVDD', 'RePEN', 'Success', 'DevNet'})
0.018	frozenset({'RePEN', 'Quartile', 'DevNet'})
0.018	frozenset({'PReNet', 'DeepSVDD', 'RePEN', 'Success', 'DeepSAD'})
0.018	frozenset({'ICL', 'GOAD'})
0.018	frozenset({'Quartile', 'DeepSVDD', 'DevNet', 'RCA'})
0.016	frozenset({'ICL', 'GOAD', 'Success'})
0.016	frozenset({'Quartile', 'DeepSVDD', 'RePEN', 'Success', 'DeepSAD'})
0.016	frozenset({'Quartile', 'DeepSVDD', 'DeepSAD'})
0.016	frozenset({'RePEN', 'Success', 'Quartile', 'DeepSAD'})
0.016	frozenset({'Quartile', 'RCA', 'DeepSVDD', 'RePEN', 'DeepSAD'})
0.016	frozenset({'RoSAS', 'GOAD', 'Success'})
0.016	frozenset({'Quartile', 'DeepSAD'})
0.016	frozenset({'RePEN', 'Quartile', 'DeepSVDD', 'DeepSAD'})
0.016	frozenset({'Success', 'Quartile', 'DeepSAD', 'RCA'})
