antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction	zhangs_metric
frozenset({'ICL'})	frozenset({'Success'})	0.09953719008264462	0.9892561983471074	0.09889256198347107	0.9935237462636998	1.0043138955547843	0.000424779728160643	1.658953168044079	0.004770175678624201
frozenset({'PReNet'})	frozenset({'Success'})	0.0994710743801653	0.9892561983471074	0.0987603305785124	0.9928547690262546	1.003637652900391	0.00035795369168772906	1.5036325197001763	0.004024821679234155
frozenset({'NeuTraL'})	frozenset({'Success'})	0.09930578512396694	0.9892561983471074	0.09836363636363636	0.9905126498002663	1.001270097124747	0.00012477289802609315	1.1324343917645372	0.001408342591019567
frozenset({'DeepSVDD'})	frozenset({'Success'})	0.1	0.9892561983471074	0.09828099173553718	0.9828099173553718	0.9934837092731829	-0.0006446280991735664	0.6249999999999976	-0.007235084594835405
frozenset({'SLAD'})	frozenset({'Success'})	0.09973553719008264	0.9892561983471074	0.09778512396694215	0.9804441498176998	0.9910922483537317	-0.0008788743938255572	0.5493906709623224	-0.009884839545169418
frozenset({'DeepSAD'})	frozenset({'Success'})	0.10193388429752066	0.9892561983471074	0.09980165289256199	0.9790822117723367	0.989715519001276	-0.0010370739703572107	0.5136203472355707	-0.011438455879239402
frozenset({'RoSAS'})	frozenset({'Success'})	0.10180165289256199	0.9892561983471074	0.0996198347107438	0.9785679493424256	0.989195671432193	-0.0010880814152038898	0.5012960180315537	-0.012014177299356225
frozenset({'DeepSAD', 'RoSAS'})	frozenset({'Success'})	0.09160330578512396	0.9892561983471074	0.08963636363636364	0.9785276073619633	0.9891548913182754	-0.000982774400655681	0.5003541912632855	-0.011925694133448824
frozenset({'GOAD'})	frozenset({'Success'})	0.10006611570247934	0.9892561983471074	0.09780165289256199	0.9773703336636935	0.9879850490668916	-0.0011893723106345122	0.47476624238402854	-0.013333113554716839
frozenset({'DevNet'})	frozenset({'Success'})	0.09952066115702479	0.9892561983471074	0.09723966942148761	0.9770802192326856	0.9876917838525895	-0.0012117614917013797	0.46875673733381323	-0.013649947864852912
frozenset({'RCA'})	frozenset({'Success'})	0.10085950413223141	0.9892561983471074	0.09813223140495868	0.9729596853490659	0.9835264989744108	-0.001643658220066943	0.3973253193087903	-0.01828759364868434
frozenset({'RePEN'})	frozenset({'Success'})	0.09839669421487603	0.9892561983471074	0.09512396694214877	0.9667394590962541	0.9772387180505159	-0.0022155727067823122	0.32301945070540283	-0.025182784447298764
