support	itemsets
0.013	frozenset({'DeepSAD', 'Success', 'RePEN', 'DevNet'})
0.013	frozenset({'RCA', 'RePEN', 'PReNet'})
0.013	frozenset({'DeepSAD', 'RePEN', 'DevNet'})
0.013	frozenset({'RoSAS', 'SLAD'})
0.013	frozenset({'RCA', 'Success', 'RePEN', 'PReNet'})
0.0125	frozenset({'RCA', 'DevNet', 'PReNet'})
0.0125	frozenset({'DeepSVDD', 'Success', 'NeuTraL', 'GOAD'})
0.0125	frozenset({'DeepSVDD', 'ICL'})
0.0125	frozenset({'Success', 'RoSAS', 'ICL'})
0.0125	frozenset({'DeepSVDD', 'Success', 'RoSAS'})
0.0125	frozenset({'DeepSVDD', 'Success', 'ICL'})
0.0125	frozenset({'RCA', 'Success', 'DevNet', 'PReNet'})
0.012	frozenset({'DeepSAD', 'SLAD'})
0.012	frozenset({'DeepSAD', 'RePEN', 'DevNet', 'RCA'})
0.012	frozenset({'Success', 'RoSAS', 'SLAD'})
0.012	frozenset({'DeepSAD', 'RCA', 'RePEN', 'DevNet', 'Success'})
0.0115	frozenset({'NeuTraL', 'ICL', 'GOAD'})
0.0115	frozenset({'RCA', 'Success', 'RePEN', 'ICL'})
0.0115	frozenset({'RCA', 'RePEN', 'ICL'})
0.011	frozenset({'Success', 'RePEN', 'DevNet', 'PReNet'})
0.011	frozenset({'RePEN', 'DevNet', 'PReNet'})
0.0105	frozenset({'DeepSAD', 'Success', 'SLAD'})
0.0105	frozenset({'NeuTraL', 'Success', 'DevNet'})
0.0105	frozenset({'DeepSAD', 'RePEN', 'PReNet'})
0.0105	frozenset({'DeepSAD', 'GOAD'})
0.0105	frozenset({'DeepSAD', 'PReNet', 'RCA'})
0.0105	frozenset({'NeuTraL', 'Success', 'ICL', 'GOAD'})
0.0105	frozenset({'NeuTraL', 'DevNet'})
0.0105	frozenset({'DeepSAD', 'Success', 'PReNet', 'RCA'})
0.0105	frozenset({'DeepSAD', 'Success', 'RePEN', 'PReNet'})
0.01	frozenset({'RCA', 'DeepSVDD', 'SLAD'})
0.01	frozenset({'DeepSAD', 'Success', 'GOAD'})
0.0095	frozenset({'RCA', 'DeepSVDD', 'Success', 'SLAD'})
0.0095	frozenset({'SLAD', 'PReNet'})
0.0095	frozenset({'Success', 'SLAD', 'PReNet'})
0.0095	frozenset({'DeepSAD', 'SLAD', 'RCA'})
0.009	frozenset({'RoSAS', 'GOAD'})
0.009	frozenset({'NeuTraL', 'Success', 'SLAD', 'GOAD'})
0.009	frozenset({'DeepSAD', 'Success', 'ICL', 'RCA'})
0.009	frozenset({'NeuTraL', 'SLAD', 'GOAD'})
0.009	frozenset({'ICL', 'DevNet', 'PReNet'})
0.009	frozenset({'DeepSAD', 'ICL', 'RCA'})
0.0085	frozenset({'RCA', 'RePEN', 'DevNet', 'PReNet'})
0.0085	frozenset({'RCA', 'RoSAS'})
0.0085	frozenset({'DeepSVDD', 'Success', 'DevNet'})
0.0085	frozenset({'DeepSVDD', 'DevNet'})
0.0085	frozenset({'RCA', 'RePEN', 'DevNet', 'Success', 'PReNet'})
0.0085	frozenset({'DeepSAD', 'Success', 'SLAD', 'RCA'})
0.0085	frozenset({'Success', 'RoSAS', 'GOAD'})
0.0085	frozenset({'Success', 'ICL', 'DevNet', 'PReNet'})
0.008	frozenset({'RCA', 'DeepSVDD', 'RePEN', 'SLAD'})
0.008	frozenset({'DeepSVDD', 'RePEN', 'SLAD'})
0.008	frozenset({'DeepSAD', 'Success', 'DevNet', 'PReNet'})
0.008	frozenset({'DeepSAD', 'RePEN', 'PReNet', 'RCA'})
0.008	frozenset({'DeepSAD', 'RCA', 'RePEN', 'Success', 'PReNet'})
0.008	frozenset({'RCA', 'Success', 'RoSAS'})
0.008	frozenset({'DeepSAD', 'DevNet', 'PReNet'})
0.0075	frozenset({'DeepSAD', 'NeuTraL', 'RCA'})
0.0075	frozenset({'RCA', 'DeepSVDD', 'Success', 'DevNet'})
0.0075	frozenset({'NeuTraL', 'RePEN'})
0.0075	frozenset({'RCA', 'DeepSVDD', 'DevNet'})
0.0075	frozenset({'DeepSVDD', 'Success', 'RePEN', 'SLAD'})
0.0075	frozenset({'RCA', 'DevNet', 'SLAD'})
0.0075	frozenset({'RCA', 'DevNet', 'Success', 'SLAD'})
0.0075	frozenset({'RCA', 'GOAD'})
0.0075	frozenset({'RCA', 'RePEN', 'DeepSVDD', 'Success', 'SLAD'})
0.0075	frozenset({'DeepSAD', 'NeuTraL', 'Success', 'RCA'})
0.007	frozenset({'DeepSAD', 'DeepSVDD', 'Success', 'DevNet'})
0.007	frozenset({'DeepSVDD', 'NeuTraL', 'SLAD'})
0.007	frozenset({'RCA', 'NeuTraL', 'RePEN'})
0.007	frozenset({'DevNet', 'SLAD', 'PReNet'})
0.007	frozenset({'DeepSAD', 'DeepSVDD', 'DevNet'})
0.007	frozenset({'RCA', 'Success', 'GOAD'})
0.007	frozenset({'RCA', 'DeepSVDD', 'Success', 'ICL'})
0.007	frozenset({'RCA', 'DeepSVDD', 'NeuTraL'})
0.007	frozenset({'RCA', 'DeepSVDD', 'Success', 'NeuTraL'})
0.007	frozenset({'DevNet', 'Success', 'SLAD', 'PReNet'})
0.007	frozenset({'RCA', 'DeepSVDD', 'ICL'})
0.0065	frozenset({'DeepSVDD', 'RePEN', 'DevNet'})
0.0065	frozenset({'DeepSAD', 'RCA', 'DevNet', 'DeepSVDD', 'Success'})
0.0065	frozenset({'NeuTraL', 'Success', 'SLAD', 'ICL'})
0.0065	frozenset({'RCA', 'RePEN', 'DevNet', 'DeepSVDD', 'Success'})
0.0065	frozenset({'DeepSAD', 'DeepSVDD', 'SLAD'})
0.0065	frozenset({'DeepSVDD', 'SLAD', 'GOAD'})
0.0065	frozenset({'RCA', 'NeuTraL', 'Success', 'RePEN'})
0.0065	frozenset({'RCA', 'ICL', 'PReNet'})
0.0065	frozenset({'NeuTraL', 'Success', 'RePEN'})
0.0065	frozenset({'RCA', 'DeepSVDD', 'RePEN', 'DevNet'})
0.0065	frozenset({'DeepSVDD', 'RoSAS', 'SLAD'})
0.0065	frozenset({'DeepSVDD', 'Success', 'SLAD', 'GOAD'})
0.0065	frozenset({'DeepSAD', 'DeepSVDD', 'SLAD', 'RCA'})
0.0065	frozenset({'DeepSAD', 'DeepSVDD', 'DevNet', 'RCA'})
0.0065	frozenset({'DeepSAD', 'RePEN', 'SLAD'})
0.0065	frozenset({'DeepSVDD', 'Success', 'RePEN', 'DevNet'})
0.0065	frozenset({'Success', 'RoSAS', 'RePEN'})
0.0065	frozenset({'NeuTraL', 'SLAD', 'ICL'})
0.0065	frozenset({'DeepSVDD', 'Success', 'NeuTraL', 'SLAD'})
0.0065	frozenset({'DeepSAD', 'RePEN', 'SLAD', 'RCA'})
0.0065	frozenset({'RoSAS', 'RePEN'})
0.006	frozenset({'DeepSAD', 'RePEN', 'DevNet', 'DeepSVDD', 'Success'})
0.006	frozenset({'RCA', 'RePEN', 'DeepSVDD', 'Success', 'ICL'})
0.006	frozenset({'DeepSAD', 'RCA', 'DeepSVDD', 'Success', 'SLAD'})
0.006	frozenset({'DeepSAD', 'DevNet', 'SLAD'})
0.006	frozenset({'DeepSAD', 'RCA', 'DevNet', 'Success', 'PReNet'})
0.006	frozenset({'DeepSAD', 'RePEN', 'DevNet', 'Success', 'PReNet'})
0.006	frozenset({'DeepSAD', 'RCA', 'RePEN', 'DevNet', 'DeepSVDD'})
0.006	frozenset({'RCA', 'Success', 'RoSAS', 'RePEN'})
0.006	frozenset({'RCA', 'DeepSVDD', 'RePEN', 'ICL'})
0.006	frozenset({'RePEN', 'GOAD'})
0.006	frozenset({'DeepSVDD', 'Success', 'RePEN', 'ICL'})
0.006	frozenset({'DeepSAD', 'DeepSVDD', 'RePEN', 'DevNet'})
0.006	frozenset({'DeepSAD', 'RePEN', 'DevNet', 'PReNet'})
0.006	frozenset({'DeepSVDD', 'RePEN', 'ICL'})
0.006	frozenset({'RCA', 'RoSAS', 'RePEN'})
0.006	frozenset({'DeepSAD', 'DevNet', 'PReNet', 'RCA'})
0.006	frozenset({'RCA', 'Success', 'ICL', 'PReNet'})
0.006	frozenset({'DeepSAD', 'DeepSVDD', 'Success', 'SLAD'})
0.006	frozenset({'DeepSVDD', 'Success', 'RoSAS', 'SLAD'})
0.006	frozenset({'DeepSAD', 'RCA', 'RePEN', 'DevNet', 'DeepSVDD', 'Success'})
