support	itemsets
0.012	frozenset({'DeepSAD', 'DevNet', 'PReNet'})
0.012	frozenset({'DeepSAD', 'DevNet', 'Success', 'PReNet'})
0.0115	frozenset({'DeepSVDD', 'Success', 'ICL'})
0.0115	frozenset({'RePEN', 'Success', 'ICL'})
0.0115	frozenset({'RoSAS', 'Success', 'PReNet'})
0.0115	frozenset({'RePEN', 'ICL'})
0.0115	frozenset({'RCA', 'RePEN', 'PReNet'})
0.0115	frozenset({'RoSAS', 'PReNet'})
0.0115	frozenset({'RCA', 'Success', 'RePEN', 'PReNet'})
0.011	frozenset({'DevNet', 'RCA', 'PReNet'})
0.011	frozenset({'DeepSAD', 'RoSAS', 'Success'})
0.011	frozenset({'DeepSAD', 'RCA', 'ICL'})
0.011	frozenset({'DeepSAD', 'RCA', 'Success', 'ICL'})
0.011	frozenset({'DeepSAD', 'RoSAS'})
0.011	frozenset({'DevNet', 'RCA', 'Success', 'PReNet'})
0.0105	frozenset({'GOAD', 'DeepSVDD', 'SLAD'})
0.0105	frozenset({'DeepSAD', 'Success', 'RePEN', 'PReNet'})
0.0105	frozenset({'DevNet', 'NeuTraL', 'Success'})
0.0105	frozenset({'DeepSAD', 'RePEN', 'PReNet'})
0.0105	frozenset({'NeuTraL', 'DevNet'})
0.01	frozenset({'DeepSAD', 'RCA', 'Success', 'PReNet'})
0.01	frozenset({'DeepSAD', 'RCA', 'PReNet'})
0.01	frozenset({'SLAD', 'Success', 'PReNet'})
0.01	frozenset({'RCA', 'RePEN', 'ICL'})
0.01	frozenset({'DevNet', 'Success', 'SLAD'})
0.01	frozenset({'RCA', 'RePEN', 'Success', 'ICL'})
0.01	frozenset({'SLAD', 'PReNet'})
0.01	frozenset({'DevNet', 'SLAD'})
0.0095	frozenset({'RoSAS', 'Success', 'ICL'})
0.0095	frozenset({'RoSAS', 'SLAD'})
0.0095	frozenset({'RoSAS', 'ICL'})
0.0095	frozenset({'GOAD', 'Success', 'DeepSVDD', 'SLAD'})
0.0095	frozenset({'DeepSAD', 'RCA', 'SLAD'})
0.0095	frozenset({'DeepSAD', 'RePEN', 'SLAD'})
0.009	frozenset({'DeepSAD', 'Success', 'RePEN', 'SLAD'})
0.009	frozenset({'DeepSAD', 'RCA', 'Success', 'SLAD'})
0.009	frozenset({'DeepSAD', 'DevNet', 'Success', 'ICL'})
0.009	frozenset({'RoSAS', 'DeepSVDD'})
0.009	frozenset({'RoSAS', 'Success', 'SLAD'})
0.009	frozenset({'DeepSAD', 'DevNet', 'ICL'})
0.0085	frozenset({'Success', 'PReNet', 'DevNet', 'RCA', 'RePEN'})
0.0085	frozenset({'DeepSAD', 'DevNet', 'RePEN', 'PReNet'})
0.0085	frozenset({'DeepSAD', 'PReNet', 'Success', 'DevNet', 'RePEN'})
0.0085	frozenset({'DevNet', 'RCA', 'RePEN', 'PReNet'})
0.0085	frozenset({'DeepSAD', 'RePEN', 'ICL'})
0.0085	frozenset({'DeepSAD', 'RePEN', 'Success', 'ICL'})
0.008	frozenset({'RoSAS', 'DevNet', 'PReNet'})
0.008	frozenset({'RoSAS', 'DeepSVDD', 'Success'})
0.008	frozenset({'RoSAS', 'DevNet', 'Success', 'PReNet'})
0.008	frozenset({'RCA', 'Success', 'DeepSVDD', 'SLAD'})
0.008	frozenset({'RCA', 'DeepSVDD', 'SLAD'})
0.0075	frozenset({'DeepSAD', 'Success', 'ICL', 'RCA', 'RePEN'})
0.0075	frozenset({'DeepSAD', 'RCA', 'RePEN', 'ICL'})
0.0075	frozenset({'DevNet', 'RCA', 'Success', 'ICL'})
0.0075	frozenset({'RePEN', 'Success', 'DeepSVDD', 'SLAD'})
0.0075	frozenset({'RePEN', 'DeepSVDD', 'SLAD'})
0.0075	frozenset({'RePEN', 'RCA', 'DeepSVDD', 'SLAD'})
0.0075	frozenset({'DeepSAD', 'Success', 'PReNet', 'DevNet', 'RCA'})
0.0075	frozenset({'DeepSAD', 'RCA', 'RePEN', 'PReNet'})
0.0075	frozenset({'Success', 'SLAD', 'RCA', 'DeepSVDD', 'RePEN'})
0.0075	frozenset({'RCA', 'DevNet', 'ICL'})
0.0075	frozenset({'DeepSAD', 'RCA', 'RePEN', 'SLAD'})
0.0075	frozenset({'DeepSAD', 'Success', 'PReNet', 'RCA', 'RePEN'})
0.0075	frozenset({'DeepSAD', 'RCA', 'DevNet', 'PReNet'})
0.007	frozenset({'DeepSAD', 'Success', 'SLAD', 'RCA', 'RePEN'})
0.007	frozenset({'DeepSAD', 'NeuTraL'})
0.007	frozenset({'DevNet', 'SLAD', 'Success', 'PReNet'})
0.007	frozenset({'DeepSAD', 'NeuTraL', 'Success'})
0.007	frozenset({'DevNet', 'SLAD', 'PReNet'})
0.007	frozenset({'DeepSAD', 'RoSAS', 'DevNet', 'Success'})
0.007	frozenset({'DeepSAD', 'RoSAS', 'DevNet'})
0.0065	frozenset({'RCA', 'PReNet', 'Success', 'ICL'})
0.0065	frozenset({'RCA', 'PReNet', 'ICL'})
0.0065	frozenset({'DeepSAD', 'PReNet', 'DevNet', 'RCA', 'RePEN'})
0.0065	frozenset({'DeepSAD', 'PReNet', 'DevNet', 'Success', 'RCA', 'RePEN'})
0.006	frozenset({'DeepSAD', 'PReNet', 'ICL'})
0.006	frozenset({'DeepSAD', 'RCA', 'DeepSVDD', 'SLAD'})
0.006	frozenset({'DeepSAD', 'Success', 'SLAD', 'RCA', 'DeepSVDD'})
0.006	frozenset({'DeepSAD', 'Success', 'PReNet', 'ICL'})
0.006	frozenset({'DeepSAD', 'Success', 'DeepSVDD', 'SLAD'})
0.006	frozenset({'DeepSAD', 'DeepSVDD', 'SLAD'})
0.0055	frozenset({'DeepSAD', 'DevNet', 'Success', 'RCA', 'DeepSVDD', 'RePEN'})
0.0055	frozenset({'DeepSAD', 'Success', 'DevNet', 'ICL', 'RCA'})
0.0055	frozenset({'GOAD', 'RePEN', 'Success'})
0.0055	frozenset({'DeepSAD', 'Success', 'DevNet', 'DeepSVDD', 'RePEN'})
0.0055	frozenset({'DeepSAD', 'SLAD', 'RCA', 'DeepSVDD', 'RePEN'})
0.0055	frozenset({'DeepSAD', 'SLAD', 'Success', 'RCA', 'DeepSVDD', 'RePEN'})
0.0055	frozenset({'RCA', 'DeepSVDD', 'DevNet'})
0.0055	frozenset({'DeepSAD', 'RePEN', 'DeepSVDD', 'DevNet'})
0.0055	frozenset({'DevNet', 'RePEN', 'DeepSVDD', 'Success'})
0.0055	frozenset({'RePEN', 'DeepSVDD', 'DevNet'})
0.0055	frozenset({'DeepSAD', 'DevNet', 'Success', 'SLAD'})
0.0055	frozenset({'DeepSAD', 'RCA', 'DeepSVDD', 'DevNet'})
0.0055	frozenset({'RePEN', 'RCA', 'DeepSVDD', 'DevNet'})
0.0055	frozenset({'DevNet', 'RCA', 'DeepSVDD', 'Success'})
0.0055	frozenset({'DeepSAD', 'DevNet', 'RCA', 'DeepSVDD', 'RePEN'})
0.0055	frozenset({'DeepSAD', 'RCA', 'DevNet', 'ICL'})
0.0055	frozenset({'RoSAS', 'RePEN', 'Success'})
0.0055	frozenset({'DeepSAD', 'Success', 'DevNet', 'RCA', 'DeepSVDD'})
0.0055	frozenset({'RoSAS', 'RCA'})
0.0055	frozenset({'Success', 'DevNet', 'RCA', 'DeepSVDD', 'RePEN'})
0.0055	frozenset({'DeepSAD', 'DevNet', 'SLAD'})
0.0055	frozenset({'RoSAS', 'RCA', 'Success'})
0.0055	frozenset({'RoSAS', 'RePEN'})
0.0055	frozenset({'DeepSVDD', 'DevNet'})
0.0055	frozenset({'Success', 'NeuTraL', 'DeepSVDD', 'SLAD'})
0.0055	frozenset({'NeuTraL', 'DeepSVDD', 'SLAD'})
0.0055	frozenset({'GOAD', 'RoSAS', 'SLAD'})
0.0055	frozenset({'GOAD', 'RePEN'})
0.0055	frozenset({'GOAD', 'NeuTraL', 'SLAD'})
0.0055	frozenset({'DeepSAD', 'Success', 'SLAD', 'DeepSVDD', 'RePEN'})
0.0055	frozenset({'DeepSAD', 'RePEN', 'DeepSVDD', 'SLAD'})
0.0055	frozenset({'DeepSAD', 'DevNet', 'DeepSVDD', 'Success'})
0.0055	frozenset({'DevNet', 'DeepSVDD', 'Success'})
0.0055	frozenset({'DeepSAD', 'DeepSVDD', 'DevNet'})
0.005	frozenset({'Success', 'PReNet', 'DevNet', 'RCA', 'ICL'})
0.005	frozenset({'DeepSAD', 'RCA', 'PReNet', 'ICL'})
0.005	frozenset({'DevNet', 'RCA', 'PReNet', 'ICL'})
0.005	frozenset({'DevNet', 'RePEN', 'Success', 'ICL'})
0.005	frozenset({'RePEN', 'DevNet', 'ICL'})
0.005	frozenset({'DeepSAD', 'Success', 'PReNet', 'ICL', 'RCA'})
0.005	frozenset({'GOAD', 'Success', 'NeuTraL', 'SLAD'})
0.005	frozenset({'GOAD', 'RoSAS', 'Success', 'SLAD'})
0.0045	frozenset({'DeepSAD', 'DeepSVDD', 'ICL'})
0.0045	frozenset({'DeepSAD', 'DevNet', 'PReNet', 'ICL'})
0.0045	frozenset({'GOAD', 'NeuTraL', 'DeepSVDD'})
0.0045	frozenset({'DeepSAD', 'DeepSVDD', 'Success', 'ICL'})
0.0045	frozenset({'DeepSAD', 'NeuTraL', 'ICL'})
0.0045	frozenset({'DeepSAD', 'NeuTraL', 'Success', 'ICL'})
0.0045	frozenset({'DevNet', 'SLAD', 'ICL'})
0.0045	frozenset({'Success', 'DevNet', 'ICL', 'RCA', 'RePEN'})
0.0045	frozenset({'DeepSAD', 'PReNet', 'Success', 'DevNet', 'ICL'})
0.0045	frozenset({'RoSAS', 'DeepSVDD', 'SLAD'})
0.0045	frozenset({'RCA', 'DeepSVDD', 'ICL'})
0.0045	frozenset({'NeuTraL', 'DevNet', 'ICL'})
