antecedents	consequents	antecedent support	consequent support	support	confidence	lift	leverage	conviction	zhangs_metric
frozenset({'NeuTraL', 'PReNet', 'RePEN', 'DeepSVDD'})	frozenset({'Success'})	0.01	0.946	0.01	1.0	1.0570824524312896	0.0005400000000000005	inf	0.0545454545454546
frozenset({'RePEN', 'NeuTraL', 'DeepSVDD', 'DeepSAD'})	frozenset({'Success'})	0.01	0.946	0.01	1.0	1.0570824524312896	0.0005400000000000005	inf	0.0545454545454546
frozenset({'NeuTraL', 'DeepSVDD'})	frozenset({'Success'})	0.012	0.946	0.012	1.0	1.0570824524312896	0.000648000000000001	inf	0.054655870445344215
frozenset({'DeepSVDD', 'RoSAS'})	frozenset({'Success'})	0.012	0.946	0.012	1.0	1.0570824524312896	0.000648000000000001	inf	0.054655870445344215
frozenset({'RCA', 'RoSAS'})	frozenset({'Success'})	0.012	0.946	0.012	1.0	1.0570824524312896	0.000648000000000001	inf	0.054655870445344215
frozenset({'PReNet', 'RCA', 'DeepSVDD', 'DeepSAD'})	frozenset({'Success'})	0.014	0.946	0.014	1.0	1.0570824524312896	0.0007560000000000015	inf	0.05476673427991897
frozenset({'PReNet', 'RCA', 'DeepSAD'})	frozenset({'Success'})	0.014	0.946	0.014	1.0	1.0570824524312896	0.0007560000000000015	inf	0.05476673427991897
frozenset({'PReNet', 'DevNet'})	frozenset({'Success'})	0.014	0.946	0.014	1.0	1.0570824524312896	0.0007560000000000015	inf	0.05476673427991897
frozenset({'GOAD', 'DeepSVDD'})	frozenset({'Success'})	0.014	0.946	0.014	1.0	1.0570824524312896	0.0007560000000000015	inf	0.05476673427991897
frozenset({'PReNet', 'DeepSVDD', 'DeepSAD'})	frozenset({'Success'})	0.02	0.946	0.02	1.0	1.0570824524312896	0.001080000000000001	inf	0.05510204081632659
frozenset({'PReNet', 'DeepSVDD', 'NeuTraL', 'DeepSAD', 'RePEN'})	frozenset({'Success'})	0.01	0.946	0.01	1.0	1.0570824524312896	0.0005400000000000005	inf	0.0545454545454546
frozenset({'DeepSVDD', 'DevNet', 'RePEN'})	frozenset({'Success'})	0.02	0.946	0.02	1.0	1.0570824524312896	0.001080000000000001	inf	0.05510204081632659
frozenset({'DeepSAD', 'RCA', 'DeepSVDD'})	frozenset({'Success'})	0.052	0.946	0.052	1.0	1.0570824524312896	0.002808000000000005	inf	0.056962025316455805
frozenset({'RePEN', 'RCA', 'DeepSVDD', 'DeepSAD'})	frozenset({'Success'})	0.05	0.946	0.05	1.0	1.0570824524312896	0.002700000000000001	inf	0.056842105263157916
frozenset({'DeepSVDD', 'RCA', 'DevNet'})	frozenset({'Success'})	0.02	0.946	0.02	1.0	1.0570824524312896	0.001080000000000001	inf	0.05510204081632659
frozenset({'DeepSAD', 'RCA', 'RePEN'})	frozenset({'Success'})	0.054	0.946	0.054	1.0	1.0570824524312896	0.002916000000000002	inf	0.05708245243128968
frozenset({'DeepSVDD', 'Quartile'})	frozenset({'Success'})	0.026	0.946	0.026	1.0	1.0570824524312896	0.0014040000000000025	inf	0.05544147843942515
frozenset({'Quartile'})	frozenset({'Success'})	0.026	0.946	0.026	1.0	1.0570824524312896	0.0014040000000000025	inf	0.05544147843942515
frozenset({'PReNet', 'RCA'})	frozenset({'Success'})	0.026	0.946	0.026	1.0	1.0570824524312896	0.0014040000000000025	inf	0.05544147843942515
frozenset({'Quartile', 'RCA', 'RePEN'})	frozenset({'Success'})	0.026	0.946	0.026	1.0	1.0570824524312896	0.0014040000000000025	inf	0.05544147843942515
frozenset({'RCA', 'Quartile'})	frozenset({'Success'})	0.026	0.946	0.026	1.0	1.0570824524312896	0.0014040000000000025	inf	0.05544147843942515
frozenset({'PReNet', 'RePEN'})	frozenset({'Success'})	0.026	0.946	0.026	1.0	1.0570824524312896	0.0014040000000000025	inf	0.05544147843942515
frozenset({'Quartile', 'RePEN', 'DeepSVDD'})	frozenset({'Success'})	0.026	0.946	0.026	1.0	1.0570824524312896	0.0014040000000000025	inf	0.05544147843942515
frozenset({'DeepSVDD', 'RCA', 'RePEN', 'Quartile'})	frozenset({'Success'})	0.026	0.946	0.026	1.0	1.0570824524312896	0.0014040000000000025	inf	0.05544147843942515
frozenset({'DeepSVDD', 'RCA', 'Quartile'})	frozenset({'Success'})	0.026	0.946	0.026	1.0	1.0570824524312896	0.0014040000000000025	inf	0.05544147843942515
frozenset({'DeepSAD', 'DeepSVDD'})	frozenset({'Success'})	0.058	0.946	0.058	1.0	1.0570824524312896	0.003132000000000003	inf	0.05732484076433127
frozenset({'Quartile', 'RePEN'})	frozenset({'Success'})	0.026	0.946	0.026	1.0	1.0570824524312896	0.0014040000000000025	inf	0.05544147843942515
frozenset({'RCA', 'DevNet'})	frozenset({'Success'})	0.024	0.946	0.024	1.0	1.0570824524312896	0.001296000000000002	inf	0.0553278688524591
frozenset({'DeepSAD', 'RePEN'})	frozenset({'Success'})	0.06	0.946	0.06	1.0	1.0570824524312896	0.00324	inf	0.057446808510638304
frozenset({'DeepSAD', 'RCA'})	frozenset({'Success'})	0.062	0.946	0.062	1.0	1.0570824524312896	0.0033480000000000038	inf	0.05756929637526659
frozenset({'RePEN', 'DevNet'})	frozenset({'Success'})	0.024	0.946	0.024	1.0	1.0570824524312896	0.001296000000000002	inf	0.0553278688524591
frozenset({'PReNet', 'RCA', 'RePEN'})	frozenset({'Success'})	0.022	0.946	0.022	1.0	1.0570824524312896	0.0011880000000000016	inf	0.055214723926380445
frozenset({'DeepSVDD', 'RCA', 'RePEN'})	frozenset({'Success'})	0.07	0.946	0.07	1.0	1.0570824524312896	0.0037800000000000056	inf	0.05806451612903234
frozenset({'DeepSVDD', 'RePEN'})	frozenset({'Success'})	0.074	0.946	0.074	1.0	1.0570824524312896	0.0039959999999999996	inf	0.05831533477321813
frozenset({'DeepSVDD', 'PReNet', 'RePEN'})	frozenset({'Success'})	0.022	0.946	0.022	1.0	1.0570824524312896	0.0011880000000000016	inf	0.055214723926380445
frozenset({'RCA', 'DeepSVDD'})	frozenset({'Success'})	0.08	0.946	0.08	1.0	1.0570824524312896	0.004320000000000004	inf	0.05869565217391311
frozenset({'RCA', 'RePEN'})	frozenset({'Success'})	0.082	0.946	0.082	1.0	1.0570824524312896	0.004428000000000001	inf	0.05882352941176472
frozenset({'RePEN'})	frozenset({'Success'})	0.094	0.946	0.094	1.0	1.0570824524312896	0.005076000000000011	inf	0.05960264900662264
frozenset({'RePEN', 'RCA', 'DevNet'})	frozenset({'Success'})	0.02	0.946	0.02	1.0	1.0570824524312896	0.001080000000000001	inf	0.05510204081632659
frozenset({'PReNet', 'RCA', 'DeepSVDD'})	frozenset({'Success'})	0.02	0.946	0.02	1.0	1.0570824524312896	0.001080000000000001	inf	0.05510204081632659
frozenset({'DeepSVDD', 'DeepSAD', 'RePEN'})	frozenset({'Success'})	0.054	0.946	0.054	1.0	1.0570824524312896	0.002916000000000002	inf	0.05708245243128968
frozenset({'DeepSVDD'})	frozenset({'Success'})	0.122	0.946	0.12	0.9836065573770492	1.0397532318996292	0.004588000000000009	3.293999999999999	0.043545937737281784
frozenset({'SLAD'})	frozenset({'Success'})	0.108	0.946	0.106	0.9814814814814815	1.0375068514603398	0.003832000000000002	2.916000000000007	0.04052796344868435
