support	itemsets
0.03	frozenset({'DeepSVDD', 'NeuTraL', 'SLAD'})
0.03	frozenset({'DeepSVDD', 'RePEN', 'SLAD'})
0.03	frozenset({'DeepSVDD', 'Success', 'SLAD'})
0.03	frozenset({'NeuTraL', 'DeepSVDD', 'RePEN', 'SLAD'})
0.03	frozenset({'GOAD', 'DeepSAD', 'Success', 'RePEN'})
0.03	frozenset({'GOAD', 'DeepSVDD', 'Success', 'NeuTraL'})
0.03	frozenset({'ICL', 'Success', 'NeuTraL'})
0.028	frozenset({'GOAD', 'NeuTraL', 'DeepSAD', 'RePEN'})
0.028	frozenset({'GOAD', 'DeepSAD', 'NeuTraL'})
0.028	frozenset({'GOAD', 'DeepSAD', 'RePEN', 'DeepSVDD'})
0.028	frozenset({'DeepSVDD', 'RePEN', 'RoSAS'})
0.026	frozenset({'RePEN', 'Quartile'})
0.026	frozenset({'DeepSVDD', 'Quartile'})
0.026	frozenset({'DevNet', 'RePEN'})
0.026	frozenset({'GOAD', 'DeepSVDD', 'Success', 'RePEN', 'DeepSAD'})
0.026	frozenset({'RePEN', 'PReNet'})
0.026	frozenset({'GOAD', 'DeepSAD', 'Success', 'RePEN', 'NeuTraL'})
0.026	frozenset({'DevNet', 'Success', 'RePEN'})
0.026	frozenset({'DeepSVDD', 'Success', 'RePEN', 'Quartile'})
0.026	frozenset({'Quartile'})
0.026	frozenset({'DeepSVDD', 'RePEN', 'Quartile'})
0.026	frozenset({'Success', 'RePEN', 'PReNet'})
0.026	frozenset({'GOAD', 'DeepSAD', 'Success', 'NeuTraL'})
0.026	frozenset({'GOAD', 'RePEN', 'RoSAS'})
0.026	frozenset({'DeepSVDD', 'Success', 'RePEN', 'RoSAS'})
0.026	frozenset({'Success', 'RePEN', 'Quartile'})
0.026	frozenset({'DeepSVDD', 'Success', 'Quartile'})
0.026	frozenset({'Success', 'Quartile'})
0.024	frozenset({'RCA', 'PReNet', 'Success'})
0.024	frozenset({'GOAD', 'DeepSAD', 'NeuTraL', 'DeepSVDD'})
0.024	frozenset({'GOAD', 'DeepSVDD', 'DeepSAD', 'RePEN', 'NeuTraL'})
0.024	frozenset({'DevNet', 'NeuTraL'})
0.024	frozenset({'DevNet', 'Success', 'NeuTraL'})
0.024	frozenset({'RCA', 'PReNet'})
0.024	frozenset({'DeepSAD', 'RoSAS'})
0.024	frozenset({'DevNet', 'DeepSAD', 'Success', 'RePEN'})
0.024	frozenset({'DevNet', 'DeepSAD', 'NeuTraL'})
0.024	frozenset({'DeepSVDD', 'DeepSAD', 'RoSAS'})
0.024	frozenset({'DevNet', 'DeepSVDD', 'RePEN'})
0.024	frozenset({'DevNet', 'DeepSVDD', 'Success', 'RePEN'})
0.024	frozenset({'DevNet', 'DeepSAD', 'Success', 'NeuTraL'})
0.024	frozenset({'GOAD', 'Success', 'RePEN', 'RoSAS'})
0.024	frozenset({'DevNet', 'DeepSAD', 'RePEN'})
0.022	frozenset({'GOAD', 'DeepSVDD', 'Success', 'DeepSAD', 'NeuTraL'})
0.022	frozenset({'DeepSVDD', 'DeepSAD', 'Success', 'RoSAS'})
0.022	frozenset({'GOAD', 'DeepSAD', 'DeepSVDD', 'RoSAS'})
0.022	frozenset({'DeepSVDD', 'DevNet', 'DeepSAD', 'RePEN'})
0.022	frozenset({'GOAD', 'DeepSVDD', 'DeepSAD', 'RePEN', 'Success', 'NeuTraL'})
0.022	frozenset({'GOAD', 'DeepSAD', 'RoSAS'})
0.022	frozenset({'DeepSAD', 'Success', 'RoSAS'})
0.022	frozenset({'DevNet', 'DeepSVDD', 'Success', 'RePEN', 'DeepSAD'})
0.02	frozenset({'DeepSVDD', 'PReNet'})
0.02	frozenset({'GOAD', 'DeepSAD', 'Success', 'RoSAS'})
0.02	frozenset({'GOAD', 'DeepSVDD', 'Success', 'DeepSAD', 'RoSAS'})
0.02	frozenset({'DevNet', 'Success', 'RoSAS'})
0.02	frozenset({'GOAD', 'DevNet', 'RoSAS'})
0.02	frozenset({'DevNet', 'DeepSVDD', 'RoSAS'})
0.02	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'RoSAS'})
0.02	frozenset({'GOAD', 'DevNet', 'Success', 'RoSAS'})
0.02	frozenset({'DeepSVDD', 'Success', 'PReNet'})
0.02	frozenset({'DevNet', 'RoSAS'})
0.02	frozenset({'DevNet', 'DeepSVDD', 'Success', 'RoSAS'})
0.02	frozenset({'GOAD', 'DevNet', 'DeepSVDD', 'Success', 'RoSAS'})
0.02	frozenset({'GOAD', 'DeepSVDD', 'RePEN', 'RoSAS'})
0.018	frozenset({'Success', 'NeuTraL', 'Quartile'})
0.018	frozenset({'GOAD', 'DevNet', 'DeepSAD', 'Success', 'RoSAS'})
0.018	frozenset({'GOAD', 'DevNet', 'DeepSAD', 'RoSAS'})
